City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Bereda,ES,43.2686,-7.5406,36.0,100,40,1.41,scattered clouds
163,Saint-Augustin,CA,51.226,-58.6502,2.16,90,100,19.08,overcast clouds
164,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,71.89,87,17,4.99,few clouds
165,Pangoa,PE,-12.1167,-73.0,69.01,99,100,1.88,overcast clouds
166,Bislig,PH,8.2167,126.2833,78.67,92,14,7.83,few clouds
167,Damara,CF,4.9608,18.7035,67.42,26,100,3.04,overcast clouds
168,Tiznit,MA,29.5833,-9.5,60.46,24,67,4.27,broken clouds
169,Sechura,PE,-5.5569,-80.8222,71.65,77,13,10.67,few clouds
170,Milkovo,RU,54.7167,158.6167,20.39,91,100,11.01,light snow
171,Provideniya,RU,64.3833,-173.3,-1.66,79,0,11.81,clear sky
172,Kahului,US,20.8947,-156.47,82.42,69,40,23.02,scattered clouds
173,Ballina,AU,-28.8667,153.5667,75.38,66,40,24.16,scattered clouds
174,Aguimes,ES,27.9054,-15.4461,65.66,37,0,9.22,clear sky
175,Butaritari,KI,3.0707,172.7902,82.78,74,90,17.6,overcast clouds
176,Ginda,IN,30.6945,78.4932,29.37,41,35,4.94,scattered clouds
177,Honiara,SB,-9.4333,159.95,87.21,67,86,7.78,overcast clouds
178,Kotido,UG,2.9806,34.1331,69.67,48,100,2.57,overcast clouds
179,Tandil,AR,-37.3217,-59.1332,54.05,80,100,13.11,light rain
180,Kandrian,PG,-6.2167,149.55,89.87,59,99,8.5,overcast clouds
181,San Julian,MX,21.0167,-102.1667,58.06,35,34,4.14,scattered clouds
182,Tasiilaq,GL,65.6145,-37.6368,17.76,54,93,7.43,overcast clouds
183,Mnogovershinnyy,RU,53.9353,139.9242,1.35,78,100,6.2,overcast clouds
184,Kieta,PG,-6.2167,155.6333,87.44,65,15,10.47,few clouds
185,Upernavik,GL,72.7868,-56.1549,-1.17,97,100,3.38,overcast clouds
186,Alofi,NU,-19.0595,-169.9187,78.69,94,100,2.3,overcast clouds
187,Hervey Bay,AU,-25.2986,152.8535,80.04,57,32,24.96,scattered clouds
188,Lagoa,PT,39.05,-27.9833,58.35,77,2,15.75,clear sky
189,Westport,US,41.1415,-73.3579,24.55,60,0,1.99,clear sky
190,Antigonish,CA,45.6169,-61.9986,19.92,87,100,20.6,overcast clouds
191,Chokurdakh,RU,70.6333,147.9167,-31.81,100,100,1.97,overcast clouds
192,Chernushka,RU,56.5072,56.0766,10.02,97,72,4.68,broken clouds
193,Hilo,US,19.7297,-155.09,78.53,78,75,11.5,broken clouds
194,Nouadhibou,MR,20.931,-17.0347,64.38,94,0,16.11,clear sky
195,Naze,JP,28.3667,129.4833,54.52,66,99,14.67,overcast clouds
196,San Matias,BO,-16.3667,-58.4,75.87,89,23,3.27,few clouds
197,Egvekinot,RU,66.3167,-179.1667,-9.15,87,6,9.98,clear sky
198,Yar-Sale,RU,66.8333,70.8333,-15.7,100,81,3.38,broken clouds
199,Saldanha,ZA,-33.0117,17.9442,68.05,71,72,2.91,broken clouds
200,Lorengau,PG,-2.0226,147.2712,84.31,71,100,8.57,overcast clouds
201,Galesong,ID,-5.3166,119.3661,82.42,73,100,6.91,overcast clouds
202,Penzance,GB,50.1186,-5.5371,51.01,85,100,35.99,overcast clouds
203,Colquechaca,BO,-18.6667,-66.0167,33.31,91,100,5.75,light snow
204,Sorland,NO,67.667,12.6934,36.18,86,65,27.6,light rain
205,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,55,0,2.3,clear sky
206,Namibe,AO,-15.1961,12.1522,72.23,67,85,8.86,overcast clouds
207,Vardo,NO,70.3705,31.1107,27.03,79,100,28.03,overcast clouds
208,Lompoc,US,34.6391,-120.4579,63.01,64,20,11.5,few clouds
209,Hofn,IS,64.2539,-15.2082,29.91,64,100,15.3,overcast clouds
210,Yumen,CN,40.2833,97.2,14.99,62,100,16.6,overcast clouds
211,Palu,ID,-0.8917,119.8707,88.57,60,99,2.39,overcast clouds
212,Snyder,US,32.7179,-100.9176,42.1,38,0,6.91,clear sky
213,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,-1.41,99,17,2.59,few clouds
214,Airai,TL,-8.9266,125.4092,73.17,63,59,2.46,broken clouds
215,Garowe,SO,8.4054,48.4845,63.66,78,14,7.72,few clouds
216,Luderitz,NA,-26.6481,15.1594,66.76,81,92,10.16,overcast clouds
217,Oildale,US,35.4197,-119.0195,64.56,39,0,5.75,haze
218,Dakar,SN,14.6937,-17.4441,69.93,94,0,6.91,clear sky
219,Homer,US,59.6425,-151.5483,37.29,78,100,3.44,overcast clouds
220,Puerto Maldonado,PE,-12.6,-69.1833,72.59,98,97,2.19,overcast clouds
221,Tanete,ID,-3.9443,119.7848,79.65,86,100,1.57,overcast clouds
222,Sao Filipe,CV,14.8961,-24.4956,73.08,73,0,9.24,clear sky
223,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,94,75,16.4,broken clouds
224,Auki,SB,-8.7676,160.7034,83.39,79,80,8.81,broken clouds
225,Kumphawapi,TH,17.1087,103.0149,73.89,77,94,5.84,overcast clouds
226,Pochutla,MX,15.7432,-96.4661,71.33,69,4,3.94,clear sky
227,Panaba,MX,21.2833,-88.2667,69.24,91,90,7.38,overcast clouds
228,Doha,QA,25.2867,51.5333,62.58,46,0,11.5,clear sky
229,Aykhal,RU,66.0,111.5,-9.42,99,99,3.33,overcast clouds
230,Pisco,PE,-13.7,-76.2167,68.05,88,0,5.75,clear sky
231,Nguru,NG,12.8791,10.4526,59.94,20,0,9.71,clear sky
232,Iqaluit,CA,63.7506,-68.5145,-29.47,62,40,4.61,scattered clouds
233,Sambava,MG,-14.2667,50.1667,74.34,87,79,4.21,broken clouds
234,Mayo,US,38.8876,-76.5119,29.95,56,0,5.01,clear sky
235,Ketchikan,US,55.3422,-131.6461,46.38,61,100,19.57,overcast clouds
236,Chingirlau,KZ,51.095,54.0814,18.25,97,99,4.25,light snow
237,Sayyan,YE,15.1718,44.3244,53.51,60,70,4.81,broken clouds
238,Ponta Do Sol,PT,32.6667,-17.1,68.13,47,50,12.95,scattered clouds
239,Bara,NG,10.3744,10.7288,61.52,33,0,7.65,clear sky
240,Lufilufi,WS,-13.8745,-171.5986,85.78,77,91,14.27,light rain
241,Aripuana,BR,-9.1667,-60.6333,72.09,98,72,2.24,broken clouds
242,Sinnamary,GF,5.3833,-52.95,76.5,90,100,8.97,overcast clouds
243,Meiktila,MM,20.8667,95.8667,70.07,64,4,12.66,clear sky
244,Xuchang,CN,34.0167,113.8167,34.68,32,100,4.54,overcast clouds
245,Broken Hill,AU,-31.95,141.4333,78.51,31,40,14.97,scattered clouds
246,Muzhi,RU,65.3667,64.6667,-19.48,100,88,0.67,overcast clouds
247,Tiksi,RU,71.6872,128.8694,-23.01,98,98,6.11,overcast clouds
248,Olafsvik,IS,64.8945,-23.7142,30.45,72,100,33.96,overcast clouds
249,East London,ZA,-33.0153,27.9116,69.69,89,96,15.93,light rain
250,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,19.57,few clouds
251,Mount Isa,AU,-20.7333,139.5,91.17,33,10,8.05,clear sky
252,Port Augusta,AU,-32.5,137.7667,89.71,19,97,5.44,overcast clouds
253,Lugovoy,KZ,42.9472,72.7644,34.09,44,100,2.35,overcast clouds
254,Colesberg,ZA,-30.72,25.0972,65.1,63,6,10.02,clear sky
255,Sal Rei,CV,16.1833,-22.9167,68.56,83,0,18.32,clear sky
256,Praya,CV,14.9215,-23.5087,70.34,83,0,14.97,clear sky
257,Grenada,ES,37.1882,-3.6067,50.18,76,95,1.25,overcast clouds
258,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,40,9.22,scattered clouds
259,Gat,IL,31.61,34.7642,49.78,100,80,6.22,broken clouds
260,Beruwala,LK,6.4788,79.9828,77.79,83,94,3.13,overcast clouds
261,Ozernovskiy,RU,51.5,156.5167,27.43,84,77,9.24,broken clouds
262,Gwanda,ZW,-20.9333,29.0,62.73,90,39,11.63,scattered clouds
263,Nome,US,64.5011,-165.4064,-0.33,65,0,5.75,clear sky
264,Junin,AR,-34.5838,-60.9433,54.97,82,1,7.67,clear sky
265,Sicamous,CA,50.8331,-118.9856,35.87,97,100,1.25,overcast clouds
266,Regina,CA,50.4501,-104.6178,7.16,80,100,17.27,overcast clouds
267,Duluth,US,46.7833,-92.1066,17.01,83,100,0.0,mist
268,Illapel,CL,-31.6308,-71.1653,70.52,61,0,2.01,clear sky
269,Seguin,US,29.5688,-97.9647,45.59,43,0,0.0,clear sky
270,Cockburn Town,TC,21.4612,-71.1419,75.16,57,40,8.05,scattered clouds
271,Boca Do Acre,BR,-8.7522,-67.3978,71.89,98,100,2.71,overcast clouds
272,Zwedru,LR,6.0667,-8.1281,72.61,95,16,1.88,few clouds
273,Banda Aceh,ID,5.5577,95.3222,79.41,73,96,7.31,overcast clouds
274,Mahanoro,MG,-19.9,48.8,80.46,68,100,16.64,overcast clouds
275,Tecoanapa,MX,16.5167,-98.75,77.54,67,0,1.39,clear sky
276,Genhe,CN,50.7833,121.5167,3.74,73,50,2.98,scattered clouds
277,Straumen,NO,63.8709,11.2999,37.4,85,100,3.22,overcast clouds
278,Havelock,US,34.8791,-76.9013,39.92,73,3,8.01,clear sky
279,Lata,PT,40.1629,-8.3327,51.06,74,0,5.32,clear sky
280,Talnakh,RU,69.4865,88.3972,-17.64,100,100,2.66,overcast clouds
281,Hovd,MN,48.0056,91.6419,-13.52,76,12,2.93,few clouds
282,Goderich,CA,43.7501,-81.7165,15.91,73,91,9.22,overcast clouds
283,Gouyave,GD,12.1646,-61.7296,77.77,78,40,11.5,scattered clouds
284,Bardiyah,LY,31.7561,25.0865,53.17,71,2,16.69,clear sky
285,Moron,AR,-34.6534,-58.6198,64.15,85,43,11.16,scattered clouds
286,Elizabeth City,US,36.2946,-76.2511,35.02,61,0,12.66,clear sky
287,Gorodets,RU,56.6514,43.475,-3.93,100,100,2.93,overcast clouds
288,Riyadh,SA,24.6877,46.7219,50.14,37,0,8.9,clear sky
289,Ascension,US,30.2169,-90.9001,44.01,70,0,0.0,clear sky
290,Kimbe,PG,-5.5502,150.1429,87.85,63,47,9.1,light rain
291,Pangkalanbuun,ID,-2.6833,111.6167,86.02,64,100,3.67,light rain
292,Marzuq,YE,14.4,46.4667,62.29,40,24,3.51,few clouds
293,Kahama,TZ,-3.8333,32.6,62.53,94,100,1.57,overcast clouds
294,Ilulissat,GL,69.2167,-51.1,3.22,51,100,16.11,overcast clouds
295,Yataity,PY,-26.3667,-56.0667,70.66,88,85,2.82,overcast clouds
296,Nelipyno,UA,48.561,23.0315,26.26,99,100,3.51,overcast clouds
297,Oistins,BB,13.0667,-59.5333,78.89,69,20,12.66,few clouds
298,Paracuru,BR,-3.41,-39.0306,82.11,83,19,7.72,few clouds
299,Inhambane,MZ,-23.865,35.3833,76.68,83,80,16.17,light rain
300,Cherlak,RU,54.155,74.8055,7.68,82,99,9.1,overcast clouds
301,Nykoping,SE,58.753,17.0079,37.26,88,75,5.01,light rain
302,Uberaba,BR,-19.7483,-47.9319,75.78,83,40,2.3,thunderstorm
303,Half Moon Bay,US,37.4636,-122.4286,60.98,56,20,4.61,few clouds
304,Skibbereen,IE,51.55,-9.2667,52.11,91,100,34.74,light rain
305,Tyrma,RU,50.0833,132.1667,-4.61,90,100,1.79,overcast clouds
306,Moba,CN,33.2288,105.0179,22.03,90,100,5.14,light snow
307,Fukue,JP,32.6881,128.8419,41.36,52,75,14.97,broken clouds
308,Dahuk,IQ,36.8695,42.994,36.9,73,3,3.0,clear sky
309,Gillette,US,44.2911,-105.5022,32.81,88,75,11.01,broken clouds
310,Ures,MX,29.4333,-110.4,68.07,27,0,2.37,clear sky
311,Issia,CI,6.4922,-6.5856,75.63,83,94,2.37,overcast clouds
312,Harnai,PK,30.1005,67.9374,51.48,37,68,2.28,broken clouds
313,Buritizeiro,BR,-17.3511,-44.9622,70.5,99,100,3.31,overcast clouds
314,Muros,ES,42.7762,-9.0603,47.23,78,10,10.0,clear sky
315,San Jose,US,37.3394,-121.895,61.48,49,20,9.22,few clouds
316,Korla,CN,41.7597,86.1469,22.66,43,97,10.69,overcast clouds
317,Rantauprapat,ID,2.1,99.8333,76.89,89,100,1.45,overcast clouds
318,Yulara,AU,-25.2406,130.9889,84.04,23,0,9.22,clear sky
319,Niono,ML,14.2526,-5.993,67.01,12,0,9.57,clear sky
320,Matadi,CD,-5.8167,13.45,73.6,98,100,1.5,light rain
321,Katobu,ID,-4.9408,122.5276,85.87,64,83,5.99,broken clouds
322,Fuling,CN,29.7022,107.3919,41.47,90,100,2.84,overcast clouds
323,Hit,IQ,33.6416,42.8251,49.01,62,2,8.43,clear sky
324,Maloy,NO,61.9353,5.1136,38.93,88,100,11.99,overcast clouds
325,Ulaanbaatar,MN,47.9077,106.8832,-18.27,69,50,2.24,scattered clouds
326,Tecpan,GT,14.7623,-90.9947,54.05,97,44,6.62,scattered clouds
327,Chalmette,US,29.9427,-89.9634,46.4,59,0,0.0,clear sky
328,Baykit,RU,61.67,96.37,2.41,98,89,4.03,overcast clouds
329,Komsomolskiy,UZ,40.4272,71.7189,38.62,44,100,4.61,overcast clouds
330,Danesti,RO,46.5167,25.75,27.5,95,100,4.59,overcast clouds
331,Srednekolymsk,RU,67.45,153.6833,-28.32,96,24,2.35,few clouds
332,Alice Springs,AU,-23.7,133.8833,80.15,29,0,9.22,clear sky
333,Sept-Iles,CA,50.2001,-66.3821,0.12,46,0,5.75,clear sky
334,Azul,AR,-36.777,-59.8585,57.34,83,76,9.78,broken clouds
335,Ulladulla,AU,-35.35,150.4667,73.87,57,23,13.82,few clouds
336,Constitucion,CL,-35.3333,-72.4167,59.97,74,0,11.36,clear sky
337,Lamar,US,33.6668,-95.5836,37.31,48,0,6.91,clear sky
338,Clonakilty,IE,51.6231,-8.8706,51.01,89,100,34.16,moderate rain
339,Monte Azul Paulista,BR,-20.9072,-48.6414,70.21,95,100,8.79,heavy intensity rain
340,Vestmannaeyjar,IS,63.4427,-20.2734,28.18,73,100,21.94,light snow
341,Saiha,IN,22.4833,92.9667,55.44,93,0,1.12,clear sky
342,Umm Kaddadah,SD,13.6017,26.6876,53.96,27,53,17.2,broken clouds
343,Shiraz,IR,29.6036,52.5388,36.84,60,0,0.0,clear sky
344,Rocha,UY,-34.4833,-54.3333,63.39,88,66,7.65,broken clouds
345,Hudson Bay,CA,52.85,-102.3842,-4.54,100,95,1.1,overcast clouds
346,Gamba,GA,-2.65,10.0,76.39,86,86,4.61,overcast clouds
347,Englehart,CA,47.8169,-79.8664,5.02,60,100,6.91,overcast clouds
