City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Acapulco,MX,2022-02-05 04:18:01,16.8634,-99.8901,73.22,83,0,0.0
145,Nizwa,OM,2022-02-05 04:18:01,22.9333,57.5333,67.14,32,5,0.47
146,Olinda,BR,2022-02-05 04:18:01,-8.0089,-34.8553,82.13,65,20,4.61
147,Kodiak,US,2022-02-05 04:18:02,57.79,-152.4072,40.51,81,100,10.36
148,Casper,US,2022-02-05 04:18:02,42.8666,-106.3131,27.19,50,0,25.32
149,Souillac,MU,2022-02-05 04:18:03,-20.5167,57.5167,82.36,83,75,19.57
150,Florence,IT,2022-02-05 04:18:03,43.7667,11.25,51.3,96,100,1.14
151,Puerto Maldonado,PE,2022-02-05 04:18:04,-12.6,-69.1833,72.09,99,87,3.06
152,Banda Aceh,ID,2022-02-05 04:18:04,5.5577,95.3222,84.92,64,52,8.37
153,North Bend,US,2022-02-05 04:17:11,43.4065,-124.2243,48.16,98,100,0.0
154,Atar,MR,2022-02-05 04:18:04,20.5169,-13.0499,67.57,12,17,5.48
155,Tokmak,UA,2022-02-05 04:18:05,47.2514,35.7058,23.7,87,94,7.02
156,Aksay,RU,2022-02-05 04:18:05,47.26,39.87,30.25,84,92,8.99
157,Ribeira Grande,PT,2022-02-05 04:18:04,38.5167,-28.7,58.96,80,23,7.61
158,Itarema,BR,2022-02-05 04:18:05,-2.9248,-39.9167,78.62,81,60,10.27
159,Buala,SB,2022-02-05 04:18:06,-8.145,159.5921,83.82,77,100,9.46
160,Cherskiy,RU,2022-02-05 04:18:06,68.75,161.3,-30.96,96,8,3.94
161,Belyy Yar,RU,2022-02-05 04:18:06,53.6039,91.3903,-11.31,84,20,2.24
162,Fort Nelson,CA,2022-02-05 04:16:35,58.8053,-122.7002,-9.81,70,100,0.0
163,Cabedelo,BR,2022-02-05 04:18:07,-6.9811,-34.8339,79.47,77,7,10.27
164,Mananjary,MG,2022-02-05 04:18:07,-21.2167,48.3333,76.55,96,100,24.81
165,Selenginsk,RU,2022-02-05 04:18:07,52.0064,106.8647,-1.79,89,100,3.11
166,Honiara,SB,2022-02-05 04:18:08,-9.4333,159.95,85.96,69,100,7.81
167,Russell,US,2022-02-05 04:15:25,32.3502,-85.1999,40.28,88,100,11.5
168,Barrow,US,2022-02-05 04:17:58,71.2906,-156.7887,-16.58,76,100,4.61
169,Los Llanos De Aridane,ES,2022-02-05 04:18:08,28.6585,-17.9182,57.13,75,0,8.01
170,Kirensk,RU,2022-02-05 04:18:08,57.7853,108.1119,12.51,91,100,8.41
171,Miri,MY,2022-02-05 04:18:09,4.4148,114.0089,87.94,70,40,5.75
172,Karakol,KG,2022-02-05 04:15:15,42.4907,78.3936,16.45,70,15,4.23
173,Helena,US,2022-02-05 04:15:06,46.5927,-112.0361,40.62,59,100,18.41
174,Baoding,CN,2022-02-05 04:18:09,38.8511,115.4903,32.5,22,69,4.09
175,Fenoarivo,MG,2022-02-05 04:18:09,-18.933,47.4354,68.07,88,75,12.66
176,Sao Joao Da Barra,BR,2022-02-05 04:18:09,-21.6403,-41.0511,75.7,85,99,18.86
177,Steamboat Springs,US,2022-02-05 04:13:57,40.485,-106.8317,24.3,65,0,3.44
178,Ponta Do Sol,PT,2022-02-05 04:18:10,32.6667,-17.1,65.71,69,86,4.14
179,Ottawa,CA,2022-02-05 04:15:54,45.4112,-75.6981,8.87,75,100,4.61
180,Hargeysa,SO,2022-02-05 04:18:10,9.56,44.065,57.58,29,6,5.12
181,Kununurra,AU,2022-02-05 04:16:16,-15.7667,128.7333,82.38,83,93,8.05
182,Kruisfontein,ZA,2022-02-05 04:18:10,-34.0033,24.7314,64.89,78,72,3.49
183,Sabang,ID,2022-02-05 04:18:11,5.8933,95.3214,81.25,77,70,17.43
184,Nemuro,JP,2022-02-05 04:18:11,43.3236,145.575,27.03,60,22,17.34
185,Kupang,ID,2022-02-05 04:19:11,-10.1667,123.5833,84.04,74,25,10.56
186,Kalmunai,LK,2022-02-05 04:19:12,7.4167,81.8167,79.29,69,75,2.53
187,Khasan,RU,2022-02-05 04:19:12,42.4308,130.6434,17.8,44,22,21.36
188,Awbari,LY,2022-02-05 04:19:12,26.5921,12.7805,46.06,43,0,5.21
189,Kaohsiung,TW,2022-02-05 04:19:13,22.6163,120.3133,73.35,62,20,3.0
190,San Lorenzo,PY,2022-02-05 04:19:13,-25.3333,-57.5333,76.59,94,100,7.0
191,Diamantino,BR,2022-02-05 04:19:13,-14.4086,-56.4461,72.23,92,34,2.53
192,Caconda,AO,2022-02-05 04:19:14,-13.7333,15.0667,59.86,72,100,2.62
193,East London,ZA,2022-02-05 04:15:40,-33.0153,27.9116,65.34,94,75,2.3
194,Saint-Augustin,CA,2022-02-05 04:19:14,51.226,-58.6502,-11.36,86,100,8.84
195,Makakilo City,US,2022-02-05 04:19:14,21.3469,-158.0858,74.95,71,75,3.44
196,Puerto Ayacucho,VE,2022-02-05 04:19:15,5.6639,-67.6236,77.68,74,80,3.27
197,Husavik,IS,2022-02-05 04:19:15,66.0449,-17.3389,15.71,93,98,8.88
198,Boden,SE,2022-02-05 04:19:15,65.8252,21.6886,30.2,90,100,8.84
199,Te Anau,NZ,2022-02-05 04:19:15,-45.4167,167.7167,64.02,40,4,5.66
200,Kerrville,US,2022-02-05 04:15:21,30.0474,-99.1403,29.39,79,0,0.0
201,Vanimo,PG,2022-02-05 04:19:16,-2.6741,141.3028,86.32,66,46,10.07
